temperature,humidity,resistance,concentration
27.80651,40.77211,15423,1.6
25.04539,50.32578,15230,0.9
22.41245,60.25025,14861,0.7
20.44442,70.92088,14314,0.6
19.96376,71.7998,14246,0.8
20.45777,69.55978,14164,2.5
19.46975,72.90761,13735,2.5
19.22675,74.84398,13780,2.9
18.54848,74.12985,14295,1.9
17.84352,75.54436,14274,1.3
17.40291,75.12932,14350,0.9
17.24804,74.56779,14372,1.1
16.69528,67.71496,15324,0.6
17.16258,64.30915,15184,0.6
17.02373,63.6408,15131,0.6
17.44564,60.84382,15165,1.6
19.35493,53.55306,15287,1.9
21.47784,46.60868,15446,2.3
23.12009,42.31327,15588,1.8
23.91051,41.00557,15548,1.5
24.91722,39.73297,12551,1.2
25.1442,39.40643,14287,1.1
24.80507,39.77417,14402,1
24.42054,38.53666,14479,1
23.74228,38.80217,14549,1.2
21.79026,42.61234,14508,0.9
19.56855,47.20836,14381,0.6
18.49241,49.3782,14183,0.4
17.77142,51.39544,14097,0.7
17.14923,52.98848,13967,0.5
16.68192,54.94011,13863,0.8
16.21462,56.1059,13785,0.6
15.66186,56.74372,13824,0.4
15.4509,58.17197,13775,0.7
15.70459,56.70558,13854,0.7
16.28405,55.50164,13857,0.5
16.5404,53.70413,13921,0.8
16.45762,60.5066,13193,0.9
15.523,64.90883,12944,0.9
16.04639,61.0605,13308,4.5
18.83421,54.43504,13358,8.5
20.51385,49.71084,13690,8.5
23.02129,42.98161,14031,6.3
25.53941,40.17701,13868,3
25.61151,40.18464,14358,2
26.15091,39.04021,14471,1.4
25.96399,41.0605,14508,1.5
24.52201,45.4902,14434,1.5
23.85443,45.19875,14509,1.1
22.77829,48.64882,14405,1.1
20.73014,55.52605,14058,0.7
19.85161,58.91661,13628,0.5
19.3122,61.15206,13484,0.8
