temparature,humidity,resistance,concentration
28.47,52.42,6741,3
27.96,56.55,6636,2.2
30.41,47.74,7124,1.3
30.83,46.24,7580,1.3
30.64,46.11,7723,1.7
28.88,50.07,7927,1.4
27.11,53.92,7826,0.9
26.32,54.07,7816,0.5
25.78,55.26,7809,0.5
25.24,55.74,7802,1.7
25.43,56.9,7595,2.7
24.48,60.76,7167,2.1
24.18,61.1,7025,1.2
23.56,62.86,6923,0.8
22.64,68.81,6657,1
22.43,70.46,6542,1
21.25,73.01,6462,0.8
21.89,69.85,6567,0.9
22.1,68.06,6441,2.1
20.43,76.31,6494,4.7
21.41,74.54,5977,14
23.13,69.48,6990,10.6
26.12,58.13,6101,6.9
27.79,52.28,5998,5
29.08,48.24,6689,3.1
28.93,52.47,6309,2.2
30.39,45.87,6710,1.3
30.71,43.6,6490,1.3
31.02,43.19,6948,1.4
28.46,47.71,6433,1.4
26.56,52.4,6370,1.1
24.63,57.61,6727,0.8
23.52,60.33,5627,0.7
23.03,62.05,6247,0.9
21.96,66.73,6347,1.1
21.17,68.7,6094,1
21.15,68.64,6281,0.8
20.76,68.89,6063,0.8
20.28,71.13,5984,0
21.28,67.79,5997,0.2
21.14,68.8,5980,0.1
20.86,70.06,5901,0
20.19,71.7,5984,0
20.39,71.4,6059,0.2
21.9,66.33,5863,2.8
23.6,62.07,5949,3.8
26.26,53.84,6243,2.9
29.6,45.12,6664,1.2
29.66,45.08,7085,0.6
28.79,51.24,7131,0.4
28.42,53.36,7128,0.2
30,48.31,6990,0.2
30.01,48.63,7294,0.3
29.37,50.17,7343,0.4
27.44,55.1,7350,0.4
25.41,62.21,6857,0.2
23.06,70.95,6549,0
22.62,72.42,6403,0.1
22.94,70.89,6396,0.2
22.62,72.36,6337,0.1
22.91,71.08,6231,0
23.09,73.27,6441,0.1
23.4,71.52,6319,1.2
23.21,72.21,6281,1
22.61,75.42,6242,0.7
22.33,76.88,6042,0.8
22.24,77.75,6521,0.9
22.21,77.48,6239,1.8
21.86,79.38,6354,3.3
24.5,67.62,6283,4.5
27.62,56.76,5918,4.6
29.9,49.37,6222,2.8
31.53,44.36,6717,2.7
30.41,45.14,7113,2.1
30.01,48.09,7368,1.9
28.14,54.75,7357,1.6
27.79,57.23,7054,2.6
26.31,63.89,6969,2.5
25.84,66.94,7124,2.4
24.72,69.49,6920,1.6
25.78,67.1,6070,1.3
25.13,68.5,6181,1.6
24.71,70.26,6167,1.3
24.12,73.02,6216,1.4
24,73.62,5873,1.2
23.93,73.19,5911,1
23.96,74.27,6486,0.6
24.42,71.64,5911,0.6
24.45,72,6292,0.8
24.69,71.16,5973,0.9
23.38,76.66,5945,1.7
22.94,77.66,6187,5
24.27,71.69,5846,11.2
24.65,69.98,6081,11.6
27.34,60.72,5516,4.2
28.09,60.09,5791,1.7
29.69,55.4,5822,1.2
31.47,53.08,6327,x
33.85,47.31,6560,0.9
31.13,54.31,6892,1.3
29.04,62.53,5870,1.2
29.16,62.95,5905,1
29.3,63.31,6046,1.1
27.44,68.43,5784,1
26.56,68.27,5465,0.7
26.08,71.37,5199,0.7
27.03,67.26,5165,0.7
26.13,68.01,5301,0.4
26.76,66.55,5261,0.7
26.29,68.21,5275,0.6
26.44,68.78,5267,1
26.4,68.68,5210,1
25.85,69.38,5336,1
25.75,70.01,5699,1.3
25.09,72.14,6026,1.8
24.24,75.47,5387,2.5
24.58,76.42,5342,5.1
26.67,68.99,5571,5.4
28.13,61.96,5612,2.7
29.72,58.24,5750,2.4
30.92,54.75,6015,2.2
32.82,50.6,6302,1.7
35.01,45.61,6654,x
33.57,49.85,6822,1.2
32.85,49.56,6865,1.5
31.83,49.58,6994,1.8
30.32,53.44,6903,2.7
28.57,59.06,6664,2
28.27,57.89,6664,1.4
27.25,64.4,6406,1.1
25.85,70.91,6150,0.9
24.89,76.48,5701,0.7
24.58,79.2,5784,0.5
24.73,78.43,5332,0.6
24.52,75.7,6171,0.5
24.31,77.11,6216,0.8
24.28,76.91,6209,0.7
24,77.07,6474,1.4
23.69,78.36,6573,2
23.46,79.17,6437,5.7
25.19,73.9,6698,14.3
27.96,63.89,7193,4.9
29.16,57.26,6910,3
31.74,49.77,6536,2.3
30.08,54.65,6351,1.8
32.62,48,6263,1.3
34.26,41.6,6675,1.2
34.83,45.11,6401,1.3
32.63,47.47,6319,x
30.85,50.46,6196,x
29.67,54.24,6176,3.3
27.76,60.43,6007,2.7
26.32,66.85,5783,1.9
27.14,63.08,5724,1
26.82,63.96,5848,1.3
25.99,69.99,5592,3.7
24.94,72.82,5557,2.9
24.79,72.62,5492,2.4
24.62,71.37,5509,1.7
24.32,72.05,5561,2.4
22.98,77.88,5712,3.6
22.9,77.68,6334,1.9
22.95,76.51,6433,2.1
23.48,74.04,6702,10.5
23.67,74.51,6816,21.3
27.69,60.25,7159,14.8
28.87,58.81,7085,5.6
31.99,48.04,7086,2.4
31.32,47.4,6604,2
31.5,47.86,6367,1.6
