temperature,humidity,resistance,Real NO(ppb)
28.37,59.66,13937,1.3
27.3,63.83,13476,1.7
26.04,70.97,13504,4.1
23.81,78.46,13517,5.9
24.17,76.45,13419,5.3
23.73,77.84,13424,2.9
22.87,79.71,13535,0.9
23.3,77.52,13759,0.8
24.24,72.65,13896,0.6
24.63,70.16,13772,0.5
24.71,69.54,13879,0.4
25.14,69.13,13836,0.3
24.05,72.84,13847,0.4
24.86,68.54,13864,0.4
25.92,64,14127,0.4
26.6,61.27,14280,0.2
27.59,56.54,14652,0.4
29.94,48.34,15046,x
30.64,47.2,15053,1
28.84,51.65,15009,1.1
30.52,49.16,14845,0.9
31.48,45.47,15002,0.4
31.05,47.42,14808,x
30.11,48.93,14443,0.7
27.35,55.86,14064,1.6
25.12,60.29,13708,4
23.76,65.1,13754,4.8
22.47,69.41,13672,3.5
22.27,69.28,13590,1.7
22.67,68.12,13519,0.3
22.47,68.77,13391,0.4
22.1,70.81,13274,0.5
22.43,69.46,13424,0.5
23.23,66.08,13659,0.3
22.95,66.67,13711,1.1
23.67,65.14,13636,1.1
23.33,65.29,13649,1.1
23.99,63.97,13674,1.3
24.58,62.2,13712,1.2
23.9,63.34,13858,1.2
24.82,61.16,13906,1.3
26.21,57.76,13981,1.9
27.76,53.17,14108,1.7
26.93,55.34,14043,2
27.08,54.53,14017,1.7
27.25,54.82,14004,1.8
26.98,55.61,13853,x
27.08,56.12,13865,x
25.96,59.41,13481,x
25.5,60.6,13524,2.9
23.94,64.96,13548,x
22.76,67.84,14246,x
22.5,68.46,14188,1.6
22.54,67.46,14284,0.4
22.33,68.18,14120,x
22.46,67.38,13894,x
22.62,69.89,13961,x
22,71.37,14082,x
22.33,71.62,13861,x
22.3,71.42,13742,0.5
22.52,71.59,14438,0.4
23.02,70.9,14081,0.3
23.73,70.51,14060,0.6
24.72,69.6,13919,0.5
26.28,64.66,14306,0.9
29.6,56.29,14428,1.2
29.77,55.11,14671,1.4
30,56.16,14209,1.1
29.11,58.92,13995,1.1
27.58,63.04,13542,1.5
28.61,63.41,13502,1.4
25.5,70.07,13498,2.2
23.33,78.64,13336,2.8
23.03,78.35,13334,3
21.7,84.2,13302,2.3
20.7,88.04,13121,1.3
20.51,90.76,13043,0.3
21,93.87,13039,0.5
22.03,89.65,12920,0.3
22.65,90.42,13017,0.4
23.43,87.73,13111,0.5
23.3,89.14,13344,0.5
23.7,92.55,13432,0.6
