H2S,TVOC,CO,SO2,Nox,RH,T,SO2,CO,NOx,THC,THC - NMHC
1991,1704,1612,1419,776,65.2,25.8,4.1,0.51,13.5,2.5,2.32
2203,2053,2024,1544,820,60.8,32.8,5,0.41,10.7,2.5,2.32
2272,2194,2177,1622,851,52.5,36.7,4.6,0.38,10,2.55,2.36
2310,2288,2298,1582,894,41.9,43.1,4.7,0.38,13.8,2.59,2.36
2322,2291,2318,1566,899,39.7,42.8,4.4,0.42,18.7,2.64,2.45
2307,2273,2291,1563,909,39.6,40.8,3.6,0.46,25.1,2.95,2.84
2306,2288,2298,1562,909,37.7,42.4,3,0.6,17.4,2.79,2.66
2300,2283,2288,1554,913,36.1,43.5,4.9,0.65,22.4,2.48,2.35
2143,2052,2021,1475,897,35,42.3,5.3,0.59,19.8,2.4,2.27
2044,1871,1842,1385,859,35.9,40.3,5.3,0.58,16.4,2.28,2.19
1933,1696,1629,1324,784,43.4,31.3,5.2,0.45,12.3,2.26,2.17
1911,1656,1574,1320,768,46.7,29.5,4.5,0.42,14,2.25,2.17
1909,1644,1555,1325,751,51.5,28,4,0.38,9.2,2.25,2.2
1905,1632,1533,1326,744,52.5,27.6,3.7,0.38,10.6,2.23,2.18
1939,1675,1589,1341,737,53.4,27.5,3.4,0.36,13,2.21,2.16
1954,1685,1600,1342,739,53.6,28.3,3.2,0.32,14.3,2.2,2.15
1871,1573,1438,1341,750,53.8,28.2,3.6,0.35,21.3,2.25,2.2
1962,1680,1589,1344,749,55.1,27.6,3.7,0.38,26.1,2.22,2.16
1936,1646,1535,1333,746,56,27.4,3.5,0.42,28.5,2.24,2.17
1915,1605,1496,1322,739,59.2,25.5,3.7,0.4,14.9,2.3,2.18
1911,1607,1489,1313,722,60.3,25.3,3.9,0.41,19.1,2.38,2.25
1921,1605,1489,1324,731,60.9,25.6,3.9,0.42,22.6,2.41,2.29
1905,1585,1458,1314,725,61.2,25.4,4,0.06,14.9,2.45,2.33
