time,mv,relative humidity,temperature,NO ppb
4/21/2023 11:03,2373.34,68,27.7,0.7
4/21/2023 12:04,2319.22,64,27.8,0.6
4/21/2023 13:05,2271.79,59,28.5,0.3
4/21/2023 14:07,2242.32,56,29,0.4
4/21/2023 15:08,2122.47,62,27.9,0.6
4/21/2023 16:12,2185.75,65,26.8,0.6
4/21/2023 17:16,2144.53,66,26.1,0.2
4/21/2023 18:03,2238.76,69,25.7,0.3
4/21/2023 19:06,2214.77,71,25.1,0.3
4/21/2023 20:08,2197.75,73,24.8,0.1
4/21/2023 21:10,2184.57,74,24.7,0.5
4/21/2023 22:12,2171.79,80,23.7,1.1
4/21/2023 23:14,2158.71,82,23.3,1.3
4/22/2023 0:01,2148.13,84,22.8,0.7
4/22/2023 1:04,2131.89,86,22.7,1.3
4/22/2023 2:06,2115.42,86,23,1.5
4/22/2023 3:07,2098.12,89,22.4,1.5
4/22/2023 4:08,2076.46,90,23.1,1.4
4/22/2023 5:09,2051.04,89,22.4,5.4
4/22/2023 6:10,2016.58,87,22.4,9
4/22/2023 7:12,1992.34,91,22.1,20.8
4/22/2023 8:15,1964.37,95,22.3,27.8
4/22/2023 9:01,1944.96,91,23.6,21.1
4/22/2023 10:03,1909.03,84,25.2,6.3
4/22/2023 11:05,1832.16,78,26.4,1.8
4/22/2023 12:08,1758.96,70,27.4,1.2
4/22/2023 13:10,1643.37,59,28.8,0.8
4/22/2023 14:13,1487.44,61,29.1,0.9
4/22/2023 15:00,1197.82,61,29.2,1.1
4/22/2023 16:03,854.92,60,28.8,1
4/22/2023 17:06,763.04,64,27,0.8
4/22/2023 18:09,976.85,67,26,0.7
4/22/2023 19:12,1066.52,70,25.3,0.6
4/22/2023 20:14,978.22,74,24.3,0.7
4/22/2023 21:01,1129.7,81,23.6,1
4/22/2023 22:04,1013.56,81,23.3,0.8
4/22/2023 23:06,1099.67,82,23.1,0.8
4/23/2023 0:09,1131.46,83,22.8,0.8
4/23/2023 1:12,1285.82,84,22.3,1.4
4/23/2023 2:13,1196,85,21.8,1.3
4/23/2023 3:14,1257.6,86,21.8,1.2
4/23/2023 4:00,1199.01,84,22,1.2
4/23/2023 5:01,1333.32,87,21.4,1.5
4/23/2023 6:02,1206.76,85,22,3.2
4/23/2023 7:04,1302.4,84,22.7,5.3
4/23/2023 8:06,1228.71,82,23.5,5.9
4/23/2023 9:09,1027.32,77,25.2,5.8
4/23/2023 10:11,623.96,67,27.3,2.7
4/23/2023 11:14,35.52,59,29.2,1.4
4/23/2023 12:00,41.12,53,30.3,1.2
4/23/2023 13:03,333.32,52,30.7,1
4/23/2023 14:04,28.64,57,29.3,1.1
4/23/2023 15:06,28.08,59,28.6,1
4/23/2023 16:09,33.12,63,28,1
4/23/2023 17:12,21.67,70,26.5,0.8
4/23/2023 18:15,27.83,73,25.9,0.8
4/23/2023 19:02,29.42,77,25.5,1.1
4/23/2023 20:04,30.08,81,24.9,1
4/23/2023 21:07,130.09,84,24.2,1.1
4/23/2023 22:10,26.01,85,23.6,0.9
4/23/2023 23:13,34.58,85,23.9,0.9
4/24/2023 0:00,46.99,84,24.2,1
4/24/2023 1:02,440.64,86,23.5,0.3
4/24/2023 2:05,32.33,86,23.6,0.4
4/24/2023 3:07,36.17,87,23.6,0.4
4/24/2023 4:08,33.8,85,23.8,0.5
4/24/2023 5:09,31.33,83,23.8,0.8
4/24/2023 6:10,320.8,83,23.9,1.5
4/24/2023 7:11,30.94,81,24.4,3
4/24/2023 8:15,86.99,78,25.2,2.7
4/24/2023 9:02,32.19,71,26.3,2.1
4/24/2023 10:05,30.59,67,27.2,1.9
4/24/2023 11:07,26.3,63,28,1.1
4/24/2023 12:10,25.69,61,28.9,0.7
4/24/2023 13:13,19.71,59,29.4,0.7
4/24/2023 14:01,15.59,56,29.4,0.9
4/24/2023 15:04,13.33,60,28.8,1.4
4/24/2023 16:06,16.41,67,27,1.2
4/24/2023 17:09,11.49,74,24.7,1
4/24/2023 18:12,11.71,79,23.6,0.6
4/24/2023 19:15,14.61,80,23.3,0.7
4/24/2023 20:02,17.13,80,22.9,0.5
4/24/2023 21:05,22.95,79,23.3,0.4
4/24/2023 22:08,22.92,79,23.2,0.6
4/24/2023 23:12,32.36,81,22.6,0.5
4/25/2023 0:14,24.59,81,21.9,0.6
4/25/2023 1:01,13.18,82,21.5,0.4
4/25/2023 2:03,15.54,83,21.2,0.5
4/25/2023 3:06,14.93,82,21.5,0.4
4/25/2023 4:09,22.5,83,21.4,0.4
4/25/2023 5:12,16.1,82,21.3,0.5
4/25/2023 6:15,22.79,83,21.3,1.1
4/25/2023 7:02,19.4,81,21.8,2.1
4/25/2023 8:05,31.37,80,22.2,5.1
4/25/2023 9:07,35.38,79,23.2,7.3
4/25/2023 10:10,35.58,75,24.2,10
4/25/2023 11:13,235.66,69,26.2,7.4
4/25/2023 12:00,22.95,69,26.9,1.7
4/25/2023 13:03,15.91,68,26.9,1
4/25/2023 14:06,11.93,66,26.8,1.3
4/25/2023 15:10,8.89,67,26.2,0.9
4/25/2023 16:13,11.19,69,25.4,0.9
4/25/2023 17:01,8.94,70,25.2,0.7
4/25/2023 18:02,18.66,73,24.4,0.8
4/25/2023 19:03,19.13,77,23.3,0.6
4/25/2023 20:05,23.1,77,23.6,1.3
4/25/2023 21:06,208.21,80,23.1,1.9
4/25/2023 22:07,24.77,83,22.5,1
4/25/2023 23:08,142.35,82,22.7,1
4/26/2023 0:09,369.88,84,22.3,0.9
4/26/2023 1:10,34.79,83,21.9,0.3
4/26/2023 2:11,22.75,83,21.3,0.5
4/26/2023 3:12,21.26,83,21.4,0.4
4/26/2023 4:13,22.07,82,21.8,0.5
4/26/2023 5:14,16.25,82,21.4,0.5
4/26/2023 6:00,9.75,81,21.3,0.7
4/26/2023 7:01,9.81,81,21.4,1.9
4/26/2023 8:02,7.73,80,21.3,2.2
4/26/2023 9:03,11.63,78,21.6,2.7
4/26/2023 10:04,7.83,72,22.9,3.4
4/26/2023 11:05,21.02,66,24.1,2.5
4/26/2023 12:07,11.56,63,24.6,2.4
4/26/2023 13:08,8.41,65,23.8,x
4/26/2023 14:09,11.95,61,24.8,2.7
4/26/2023 15:10,8.9,61,24.8,2
4/26/2023 16:11,8.39,61,24.1,1.1
4/26/2023 17:01,280.49,63,23.2,1.4
