time,mv,relative humidity,temparature,NO ppb
6/20/2023 17:30,162.89,66,31.8,2.5
6/20/2023 18:22,2022.57,67,31,1.9
6/20/2023 19:14,2393.44,72,30.3,1.6
6/20/2023 20:00,2352.46,72,30.1,1.2
6/20/2023 21:02,2329.43,76,29.6,1.5
6/20/2023 22:05,2309.83,82,29,1.3
6/20/2023 23:07,2295.69,84,28.7,1
6/21/2023 0:08,2283.06,84,28.5,0.9
6/21/2023 1:10,2270.46,84,28.4,0.4
6/21/2023 2:12,2259.6,84,28.2,0.3
6/21/2023 3:13,2250.93,84,27.9,0.4
6/21/2023 4:02,2244.95,84,27.8,0.5
6/21/2023 5:03,2238.06,83,27.9,1.3
6/21/2023 6:05,2279.28,81,28.6,2.7
6/21/2023 7:06,2334.83,78,29.5,3.9
6/21/2023 8:09,2366.26,71,30.2,3
6/21/2023 9:10,2378.98,61,31.9,2
6/21/2023 10:12,2385.13,63,31.8,1.3
6/21/2023 11:13,2386.44,62,32.1,x
6/21/2023 12:15,2381.69,62,32.2,1.2
6/21/2023 13:01,2385.8,57,33.1,0.9
6/21/2023 14:02,2385.56,59,33,0.9
6/21/2023 15:04,2382.88,59,33.1,0.9
6/21/2023 16:05,2378.87,56,33.1,1
6/21/2023 17:06,2372.3,59,32.4,1.3
6/21/2023 18:06,2354.07,67,31.1,1.1
6/21/2023 19:08,2312.53,71,30.6,1
6/21/2023 20:09,2277.23,71,30.5,1.5
6/21/2023 21:11,2258.56,73,30,0.6
6/21/2023 22:13,2246.49,78,29.3,0.8
6/21/2023 23:14,2234.82,80,28.9,0.8
6/22/2023 0:01,2227.6,80,29,0.4
6/22/2023 1:02,2219.84,81,28.7,1
6/22/2023 2:04,2213.77,81,28.4,0.7
6/22/2023 3:06,2208.38,81,28.3,0.7
6/22/2023 4:07,2204.08,81,27.9,0.6
6/22/2023 5:09,2199.66,84,27.5,1.4
6/22/2023 6:10,2253.38,77,28.7,2.3
6/22/2023 7:12,2327.32,70,29.8,2
6/22/2023 8:14,2356.39,67,30.5,1.6
6/22/2023 9:00,2359.04,70,30.2,1.7
6/22/2023 10:02,2358.65,63,31.8,1.7
6/22/2023 11:03,2382.61,52,33.2,1.6
6/22/2023 12:05,2385.12,56,33.2,1.1
6/22/2023 13:07,2385.97,57,33.2,0.9
6/22/2023 14:08,2379.67,56,33.3,0.8
6/22/2023 15:10,2385.44,54,33.4,1.1
6/22/2023 16:12,2382.57,57,33,1
6/22/2023 17:14,2367.52,62,32.5,1.1
6/22/2023 18:00,2352.74,65,31.6,0.8
6/22/2023 19:02,2308.21,71,30.7,1
6/22/2023 20:04,2266.19,74,30.1,0.9
6/22/2023 21:06,2243,76,29.8,0.8
